# ./dmrgSacc --pbc -N 37 --Vi=2.45285681 --Vf=2.74185681 -n 33 
#            V (t)        energy (t)          S1(l=37)          S2(l=37)       S1acc(l=37)       S2acc(l=37)
    2.45285681e+00   -2.53649885e+01    1.77957325e+00    1.35913266e+00    9.05683149e-01    5.69389719e-01
    2.46188806e+00   -2.53041611e+01    1.77891073e+00    1.35862591e+00    9.06207823e-01    5.69740291e-01
    2.47091931e+00   -2.52434904e+01    1.77821827e+00    1.35809596e+00    9.06708334e-01    5.70070431e-01
    2.47995056e+00   -2.51829769e+01    1.77749484e+00    1.35754197e+00    9.07183642e-01    5.70379272e-01
    2.48898181e+00   -2.51226209e+01    1.77673943e+00    1.35696313e+00    9.07632685e-01    5.70665928e-01
    2.49801306e+00   -2.50624229e+01    1.77595098e+00    1.35635859e+00    9.08054370e-01    5.70929485e-01
    2.50704431e+00   -2.50023834e+01    1.77512841e+00    1.35572748e+00    9.08447583e-01    5.71169013e-01
    2.51607556e+00   -2.49425027e+01    1.77427065e+00    1.35506893e+00    9.08811185e-01    5.71383555e-01
    2.52510681e+00   -2.48827814e+01    1.77337658e+00    1.35438206e+00    9.09144013e-01    5.71572139e-01
    2.53413806e+00   -2.48232198e+01    1.77244509e+00    1.35366595e+00    9.09444881e-01    5.71733770e-01
    2.54316931e+00   -2.47638184e+01    1.77147506e+00    1.35291970e+00    9.09712585e-01    5.71867437e-01
    2.55220056e+00   -2.47045777e+01    1.77046534e+00    1.35214239e+00    9.09945899e-01    5.71972111e-01
    2.56123181e+00   -2.46454980e+01    1.76941479e+00    1.35133308e+00    9.10143582e-01    5.72046747e-01
    2.57026306e+00   -2.45865800e+01    1.76832225e+00    1.35049084e+00    9.10304375e-01    5.72090288e-01
    2.57929431e+00   -2.45278239e+01    1.76718656e+00    1.34961472e+00    9.10427004e-01    5.72101664e-01
    2.58832556e+00   -2.44692303e+01    1.76600656e+00    1.34870378e+00    9.10510185e-01    5.72079794e-01
    2.59735681e+00   -2.44107997e+01    1.76478110e+00    1.34775708e+00    9.10552625e-01    5.72023590e-01
    2.60638806e+00   -2.43525324e+01    1.76350900e+00    1.34677368e+00    9.10553020e-01    5.71931959e-01
    2.61541931e+00   -2.42944290e+01    1.76218913e+00    1.34575264e+00    9.10510065e-01    5.71803803e-01
    2.62445056e+00   -2.42364899e+01    1.76082033e+00    1.34469304e+00    9.10422451e-01    5.71638024e-01
    2.63348181e+00   -2.41787155e+01    1.75940148e+00    1.34359395e+00    9.10288872e-01    5.71433529e-01
    2.64251306e+00   -2.41211063e+01    1.75793145e+00    1.34245447e+00    9.10108024e-01    5.71189226e-01
    2.65154431e+00   -2.40636628e+01    1.75640916e+00    1.34127372e+00    9.09878612e-01    5.70904035e-01
    2.66057556e+00   -2.40063854e+01    1.75483352e+00    1.34005083e+00    9.09599352e-01    5.70576887e-01
    2.66960681e+00   -2.39492746e+01    1.75320348e+00    1.33878495e+00    9.09268975e-01    5.70206727e-01
    2.67863806e+00   -2.38923308e+01    1.75151802e+00    1.33747526e+00    9.08886229e-01    5.69792521e-01
    2.68766931e+00   -2.38355544e+01    1.74977615e+00    1.33612099e+00    9.08449886e-01    5.69333258e-01
    2.69670056e+00   -2.37789459e+01    1.74797693e+00    1.33472138e+00    9.07958743e-01    5.68827953e-01
    2.70573181e+00   -2.37225058e+01    1.74611944e+00    1.33327571e+00    9.07411629e-01    5.68275650e-01
    2.71476306e+00   -2.36662343e+01    1.74420282e+00    1.33178332e+00    9.06807406e-01    5.67675432e-01
    2.72379431e+00   -2.36101320e+01    1.74222625e+00    1.33024357e+00    9.06144977e-01    5.67026417e-01
    2.73282556e+00   -2.35541993e+01    1.74018898e+00    1.32865590e+00    9.05423287e-01    5.66327769e-01
    2.74185681e+00   -2.34984365e+01    1.73809029e+00    1.32701977e+00    9.04641327e-01    5.65578697e-01
