# M=28, N=[1,14], max=1, PBC
# U/t   E0/t                 S1(l=0)              S1_OP(l=0)              S2.0(l=0)            S2.0_OP(l=0)           Sigma2_n(l=0)        H(2.0)               S(2.0)_OP(5) 
  -1.5  -2.0                 0.15407610367102906  -4.2822888092684625e-16 0.07136448620796995  -8.564577618536919e-16 0.0344387755102041   0.07136448620797067  -1.3322676295501875e-15 
  -1.5  -3.9827055508114952  0.4140271279827554   0.0013459270970602613   0.28015486055746847  0.00034970412795692094 0.12352079725749757  0.2800893287641163   0.0003495191251699096 
  -1.5  -5.940053784719973   0.670097190095351    0.010380201212068715    0.5731126545415469   0.0033325572845185345  0.23457257667689702  0.5713332968209306   0.003326344302938425 
  -1.5  -7.867303485703249   0.8825163332088997   0.03216775660222441     0.7949301944768286   0.011683883946189286   0.33871168387385486  0.7833197411260414   0.011651829404387904 
  -1.5  -9.761145369465243   1.044274352953589    0.06358446373565352     0.8801796437486854   0.02484025404406062    0.4257377101061143   0.8512067110066993   0.024782115596194414 
  -1.5  -11.619047559320677  1.1641574612734875   0.09693392208810882     0.9692037092321071   0.03969333848660882    0.49825964635674946  0.9258045651682522   0.03963974063854377  
  -1.5  -13.438983278457808  1.2543982411396515   0.1271943337399444      1.0416546556168043   0.05409441650094787    0.5590862860922239   0.9837980918877633   0.054053011304140475 
  -1.5  -15.219297679324995  1.3241298109254165   0.15292841592281992     1.0948706828750052   0.06712201352468519    0.6097482732729409   1.024040532499996    0.06708834248275591  
  -1.5  -16.95863445638068   1.3785923098412751   0.17417236679467443     1.136916241754698    0.07833804984901405    0.6513916879470774   1.0547785741918008   0.07830945032873098  
  -1.5  -18.65589194736476   1.4206543407654784   0.19120764984803382     1.1730002234164418   0.08757036589348559    0.6847279814244462   1.0819275160357904   0.08754468356688327  
  -1.5  -20.310195451474563  1.4520176005596384   0.20424898269044997     1.197193573012607    0.09475774573522373    0.7102393688175752   1.0989133623506628   0.09473355217868007  
  -1.5  -21.92087927281283   1.4737601280682546   0.21345305901352554     1.2135988788363303   0.09988615217972534    0.7282544172227041   1.1101347785239806   0.09986269357216249  
  -1.5  -23.487475045446566  1.4865573552603326   0.21893110795528253     1.2236262207948378   0.10295895690278428    0.7389843723537055   1.1170898994705598   0.10293582698019     
  -1.5  -25.009704421138657  1.4907831419216027   0.2207497414011725      1.227016823837405    0.10398234218819138    0.7425481839402721   1.119464695344004    0.10395930419111717  
